sgRNA	Gene	D1_High	D1_Low	D2_High	D2_Low
s_1344	NFIA	3290	3722	3554	4718
s_3098	MGA	3270	3899	3797	5157
s_3614	SALL4	1163	1315	1382	1718
s_171	CDX4	1690	1917	1995	2515
s_4526	ZSCAN29	2224	2556	2494	3302
s_4081	MIXL1	1307	1591	1363	1867
s_4957	HKR1	1836	2014	1934	2590
s_1883	SPP1	3812	4384	4387	5905
s_2756	ZEB2	2608	2804	3063	4051
s_4824	ZNF449	3689	4305	4299	5845
s_2322	ZNF75D	2138	2551	2484	3335
s_5828	Non-Targeting Control	2100	2536	2418	3272
s_3984	ZNF442	2037	2262	2214	2927
s_1089	IRF2	2000	2324	2397	2901
s_4345	ZNF653	2464	2789	2713	3682
s_4718	ZNF540	1809	2059	2064	2866
s_2832	ZNF267	3409	3810	3884	5152
s_932	HOXD10	3506	3805	3904	4889
s_1846	SOX11	1726	1904	1866	2522
s_5011	TFAP2E	1975	2189	2308	3025
s_4679	ZNF296	2371	2789	2583	3407
s_2054	TFAP2B	2468	2653	2958	3525
s_235	CREB1	2166	2265	2295	2970
s_382	ELF4	1408	1534	1422	1993
s_187	CEBPE	2478	2830	2701	3575
s_1644	PTPRC	3522	3787	4071	5027
s_2749	ST18	1821	2130	2137	2711
s_950	HSF1	2353	2613	2388	3314
s_3532	IL26	2628	3011	3004	3941
s_4306	ZNF561	3711	3871	4229	5184
s_5513	Non-Targeting Control	2588	2751	2944	3965
s_5755	Non-Targeting Control	1295	1532	1566	1983
s_1734	SALL2	1820	2007	1993	2451
s_931	HOXD10	851	909	916	1211
s_1303	MYCN	1486	1699	1627	2154
s_1727	RXRG	2698	2697	2752	3774
s_1674	RELB	2201	2445	2465	3150
s_2307	MZF1	2980	3378	3320	4275
s_2252	ZNF17	2064	2382	2279	3118
s_1310	MYF6	2639	2838	2890	3851
s_5608	Non-Targeting Control	2143	2433	2500	3253
s_157	CDC5L	2090	2323	2465	3143
s_580	FOSL2	1713	1932	1889	2435
s_5198	FOXI2	2154	2403	2456	3264
s_394	ELK3	2695	2997	3142	4149
s_5074	EVX2	2377	2598	2508	3505
s_161	CDX1	2702	3143	3037	4139
s_1581	POU4F1	2847	3094	3031	4145
s_2745	ZNF432	2870	3377	3295	4508
s_1215	MEF2C	1852	2007	2123	2629
s_1612	PPARD	3699	4016	3796	5202
s_1749	CCL2	1816	1925	1902	2524
s_67	ATF3	2365	2532	2460	3395
s_1273	MTF1	3769	4313	4381	5657
s_5577	Non-Targeting Control	2197	2375	2527	3117
s_3460	SOHLH2	2659	2895	2940	3762
s_5164	NKX1-2	1339	1502	1526	1964
s_232	KLF6	1708	2078	1805	2712
s_5881	Non-Targeting Control	2695	3064	3190	4198
s_5015	ZFP69	2495	2856	2862	3703
s_3204	NKX2-8	1370	1581	1475	2031
s_3567	BTNL2	1891	2136	1963	2678
s_3069	KLRK1	2665	2926	3103	4005
s_5195	FOXI2	1046	1208	1193	1467
s_3228	FOXD3	1360	1426	1429	1904
s_551	FOXD2	1985	2245	2161	2977
s_4206	LHX4	1215	1277	1293	1698
s_5244	FOXB2	2484	2792	2867	3805
s_5754	Non-Targeting Control	1888	2159	2223	2864
s_175	CEBPA	1649	1811	1844	2434
s_5985	Non-Targeting Control	2614	2968	2907	3643
s_1129	JUND	787	940	843	1192
s_222	CCR7	1570	1811	1750	2307
s_2489	ZNF236	2120	2356	2356	3098
s_2134	TP73	2715	3114	3137	4159
s_4479	ARID3C	1461	1725	1647	2175
s_779	ONECUT1	1773	2184	2074	2657
s_5525	Non-Targeting Control	2063	2192	2451	3126
s_4405	ZNF543	3944	4303	3982	5452
s_3859	DCLRE1B	1400	1684	1727	2207
s_5582	Non-Targeting Control	1957	2414	2259	2923
s_2117	NR2E1	1547	1683	1755	2317
s_468	ETV2	2083	2366	2388	3037
s_2147	TRPS1	1723	1876	1834	2475
s_2174	WT1	2419	2811	2892	3821
s_993	IL2RA	2343	2602	2455	3218
s_2204	ZIC1	1929	2126	1983	2736
s_1895	SRF	1641	1800	1823	2344
s_5557	Non-Targeting Control	1416	1681	1798	2373
s_3021	POU6F2	2324	2499	2557	3486
s_1626	PROP1	2671	3083	2895	3806
s_4705	ZNF567	1899	1989	2074	2699
s_1397	NFYB	3923	4332	4545	6015
s_5757	Non-Targeting Control	2264	2452	2583	3300
s_4001	TET1	2185	2431	2412	3019
s_5886	Non-Targeting Control	2062	2379	2342	2962
s_308	DLX6	1710	1810	1955	2478
s_5032	ZNF774	3083	3548	3342	4331
s_2336	ZNF79	1086	1269	1344	1666
s_4433	ZNF684	2265	2560	2622	3556
s_5777	Non-Targeting Control	2469	2619	2723	3429
s_4277	ZNF502	2176	2480	2503	3180
s_4417	ZNF787	1352	1481	1557	1844
s_4465	NOBOX	1829	1972	1876	2533
s_1876	SPI1	1451	1716	1635	2331
s_2298	ZNF37A	2624	2918	2928	3915
s_4087	ZIC4	498	504	622	644
s_1138	LHX1	2110	2435	2295	3170
s_1916	STAT3	1925	2243	2144	3016
s_946	HES1	1734	1983	1982	2579
s_4319	FOXQ1	1668	1991	2001	2561
s_2090	TGFB1	1141	1289	1304	1676
s_4050	ZNF93	2307	2428	2570	3260
s_3496	ZNF823	2403	2737	2766	3631
s_3569	RNF20	3151	3527	3524	4718
s_3590	LHX9	1543	1779	1774	2277
s_3979	ZNF696	1190	1341	1274	1705
s_811	HOXA5	1676	1817	1896	2447
s_2387	ZNF141	3942	4608	4587	5788
s_4681	ZNF296	1172	1283	1292	1654
s_1422	NKX6-1	1516	1708	1588	2087
s_2599	BARX2	1466	1601	1657	2156
s_3430	CCHCR1	2045	2105	2114	2883
s_2007	TCF12	2897	3178	3106	4032
s_5273	DRGX	2363	2582	2805	3287
s_1982	HNF1A	2249	2704	2452	3336
s_4673	ZNF320	2598	2871	2823	3819
s_1628	PROP1	1488	1651	1660	2138
s_3718	ZNF250	2785	3176	3242	4043
s_5792	Non-Targeting Control	2305	2587	2494	3495
s_5029	HMX3	1997	2215	2162	2789
s_2741	NFE2L3	1291	1454	1434	1910
s_922	HOXD8	1958	2167	2117	2873
s_2585	TEAD2	2067	2396	2347	3069
s_2225	ZNF7	2810	2974	2981	3896
s_908	HOXC13	1679	1909	1837	2471
s_4265	CREB3L1	2557	2751	2806	3690
s_3581	MEIS3	2854	3193	3079	3894
s_1221	MEIS1	3124	3424	3722	4688
s_2373	ZNF135	2472	2925	2818	3579
s_1688	RFX2	3016	3402	3167	4187
s_1352	NFATC4	2132	2372	2295	3107
s_785	TLX1	1225	1301	1303	1753
s_2618	HESX1	2701	3002	3138	3945
s_1415	NKX2-2	2119	2361	2381	3121
s_697	ZBTB48	3133	3571	3461	4466
s_1512	PDCD1	3007	3423	3333	4321
s_1544	PLAGL1	3521	3932	4098	5137
s_473	ETV4	2696	2971	3082	3984
s_4441	BHLHE23	1813	1980	2001	2751
s_3826	IKZF5	2576	2919	2914	3962
s_5208	ZBTB34	2182	2331	2404	3191
s_2556	DPF1	1560	1605	1619	2209
s_5408	Non-Targeting Control	3263	3510	3697	4700
s_3102	SATB2	2042	2271	2313	2972
s_3995	ZNF614	2915	3330	3309	4435
s_212	CCR4	2224	2424	2608	3303
s_5962	Non-Targeting Control	1344	1538	1534	1846
s_2928	NFAT5	2286	2560	2661	3491
s_4286	ZNF765	1765	1944	1850	2448
s_2233	ZNF10	3576	3889	4016	5197
s_4891	ZNF549	1553	1749	1760	2155
s_4700	ZNF114	4197	4567	4664	6037
s_541	FOXE1	1980	2348	2333	2961
s_5501	Non-Targeting Control	4168	4717	4565	6090
s_806	HOXA4	1900	2055	2261	2832
s_2547	ALX1	2473	2706	2616	3545
s_2574	NR0B2	3572	3922	4172	5483
s_4720	ZBTB49	1932	2289	2137	2906
s_5986	Non-Targeting Control	1281	1462	1559	1962
s_2766	MAFB	1098	1347	1321	1724
s_4560	ZNF784	1669	1859	1914	2477
s_921	HOXD8	2981	3393	3273	4523
s_5259	ZNF704	3422	3839	3596	4879
s_3482	ZNF331	2950	3306	3307	4437
s_2909	CTCF	1474	1679	1695	2220
s_1197	MAX	3007	3473	3701	4656
s_126	RUNX1	2404	2633	2577	3399
s_1173	SMAD3	2286	2551	2503	3294
s_1768	CCL7	1526	1563	1603	2165
s_5114	ZNF445	1877	2127	2091	2625
s_364	EGR3	2782	2947	2991	3977
s_2345	ZNF90	2511	3035	3147	4114
s_5522	Non-Targeting Control	1139	1298	1322	1648
s_4326	IL17F	1978	2356	2302	3076
s_2918	TBR1	1547	1660	1830	2504
s_2978	VAX1	1324	1564	1550	2123
s_1509	PDCD1	2007	2207	2095	2690
s_1675	RELB	2022	2213	2176	3022
s_4328	ZNF257	1725	1843	1874	2610
s_4248	ZNF486	2802	3110	3142	4086
s_5650	Non-Targeting Control	2618	3021	3040	3850
s_2301	ZNF41	2345	2567	2448	3383
s_4808	ZNF584	2126	2499	2300	3198
s_1159	LTF	3558	4007	4107	5139
s_2942	ZBTB6	1959	2111	2165	3094
s_415	EN2	2139	2286	2404	3054
s_409	EN1	2038	2372	2448	3041
s_3027	RBPJL	1857	2093	2192	2761
s_5940	Non-Targeting Control	2719	2851	3154	3939
s_2119	NR2E1	3617	3873	4021	5189
s_441	ESRRA	2041	2310	2402	3022
s_1306	MYF5	2844	3222	3087	4207
s_4505	CTCFL	1895	2143	2152	2857
s_2725	NR1D1	1260	1421	1539	2006
s_4552	ZNF548	2285	2425	2410	3145
s_3787	PRDM16	1990	2125	2315	3030
s_3101	SATB2	3770	4230	4487	5938
s_4649	RHOXF1	801	839	866	1160
s_3666	ZFP14	3193	3414	3645	4884
s_599	GATA2	1291	1467	1471	2121
s_27	ALX3	1878	1994	2136	2796
s_4076	ZNF484	2779	3094	3095	4263
s_1125	JUNB	1656	1790	1679	2189
s_3721	DMRT3	1694	1742	1802	2469
s_5202	MED11	1698	1847	1749	2417
s_3505	ZNF692	3169	3554	3438	4687
s_2535	LHX3	1608	1784	1890	2280
s_5896	Non-Targeting Control	3424	3778	4042	5185
s_353	EGR1	4095	4616	4720	5817
s_3176	HINFP	4059	4634	4742	6020
s_1331	NEUROG1	975	1207	1243	1590
s_2944	ZBTB6	3568	4016	4090	5500
s_3492	BATF3	2541	2845	2830	3691
