id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
PAX7	16	0.89464	0.8947	0.999599	1179	1	-0.014802	0.43461	0.63887	0.980535	872	3	-0.014802
SCRT1	16	0.32154	0.51799	0.999599	657	2	-0.031623	0.43482	0.63908	0.980535	873	3	-0.031623
NOTO	16	0.87963	0.88108	0.999599	1154	1	-0.039719	0.43504	0.63929	0.980535	874	3	-0.039719
ATF1	16	0.19477	0.37732	0.999599	476	3	-0.042437	0.43525	0.63949	0.980535	875	3	-0.042437
FOXD4L3	16	0.34409	0.54292	0.999599	686	1	0.0295	0.43543	0.63967	0.980535	876	2	0.0295
ZNF713	16	0.57417	0.70782	0.999599	907	2	0.0011952	0.43653	0.64075	0.980535	877	1	0.0011952
MTF2	16	0.089689	0.22168	0.982102	299	3	-0.031056	0.43673	0.64095	0.980535	878	3	-0.031056
SIX4	16	0.00053908	0.0032375	0.287704	13	4	-0.010423	0.43736	0.64157	0.980535	879	3	-0.010423
ZNF610	16	0.73907	0.79971	0.999599	1030	1	0.021729	0.43757	0.64178	0.980535	880	3	0.021729
E2F7	16	0.44942	0.61867	0.999599	772	2	0.0024245	0.438	0.64219	0.980535	881	3	0.0024245
ETV3L	16	0.96812	0.96812	0.999599	1289	0	0.029137	0.43847	0.64266	0.980535	882	1	0.029137
CTCFL	16	0.37859	0.57259	0.999599	722	1	-0.0029796	0.43905	0.64323	0.980535	883	3	-0.0029796
TCF3	16	0.52896	0.67417	0.999599	859	2	0.057232	0.43994	0.64409	0.980535	884	2	0.057232
PRRX2	16	0.15615	0.33416	0.999599	418	3	-0.027207	0.44255	0.64665	0.980535	885	1	-0.027207
MEF2A	16	0.13256	0.29562	0.999599	381	2	0.0093607	0.44349	0.64757	0.980535	886	3	0.0093607
SATB2	16	0.49869	0.65253	0.999599	828	2	0.0083433	0.44362	0.6477	0.980535	887	1	0.0083433
PROX2	16	0.37805	0.57226	0.999599	720	2	0.0045171	0.44548	0.64917	0.980535	888	2	0.0045171
LAG3	16	0.35508	0.55507	0.999599	700	2	0.0094966	0.44553	0.6492	0.980535	889	1	0.0094966
PDCD1LG2	16	0.042133	0.12918	0.927799	188	5	-0.032076	0.44666	0.64982	0.980535	890	2	-0.032076
ZNF580	16	0.24237	0.43025	0.999599	540	3	-0.0024245	0.44808	0.65058	0.980535	891	2	-0.0024245
IL1RL1	16	0.10886	0.25516	0.999599	344	2	0.016377	0.45021	0.65174	0.980535	892	2	0.016377
MEIS1	16	0.018623	0.067452	0.76829	119	4	-0.018651	0.45146	0.65243	0.980535	893	1	-0.018651
NFATC4	16	0.048088	0.14412	0.959174	203	4	-0.044921	0.45231	0.65289	0.980535	894	2	-0.044921
RHOXF2B	16	0.77293	0.81463	0.999599	1054	1	0.011898	0.45273	0.65312	0.980535	895	1	0.011898
KLF1	16	0.22311	0.40885	0.999599	508	1	0.011308	0.45483	0.65426	0.980535	896	1	0.011308
ZNF621	16	0.24544	0.43366	0.999599	547	3	-0.0015506	0.46108	0.65768	0.980535	897	2	-0.0015506
ETV4	16	0.20479	0.38848	0.999599	487	3	0.010114	0.46273	0.6586	0.980535	898	1	0.010114
ZNF770	16	0.053998	0.15723	0.974765	215	4	0.012924	0.46299	0.65874	0.980535	899	2	0.012924
ZNF300	16	0.86877	0.8722	0.999599	1133	1	-0.0050568	0.46532	0.66003	0.980535	900	2	-0.0050568
CCR7	16	0.03908	0.12142	0.918082	177	4	-0.01059	0.46636	0.6606	0.980535	901	2	-0.01059
ZNF705G	16	0.24401	0.43207	0.999599	544	3	-0.016969	0.46808	0.66155	0.980535	902	1	-0.016969
POU1F1	16	0.30333	0.49784	0.999599	632	2	0.02516	0.46972	0.66246	0.980535	903	2	0.02516
FOS	16	0.51118	0.66138	0.999599	841	2	0.013259	0.47135	0.66336	0.980535	904	2	0.013259
KLF15	16	0.76602	0.81142	0.999599	1047	1	-0.0045059	0.47178	0.6636	0.980535	905	2	-0.0045059
ZBED1	16	0.87623	0.87822	0.999599	1147	1	0.0068438	0.47257	0.66405	0.980535	906	2	0.0068438
HIVEP1	16	0.085533	0.21433	0.982102	287	2	0.0046054	0.4728	0.66417	0.980535	907	2	0.0046054
SIX5	16	0.014019	0.054706	0.715115	103	5	-0.006407	0.47378	0.66473	0.980535	908	2	-0.006407
