sgRNA	Gene	D1_high	D1_low	D2_high	D2_low	D3_high	D3_low	D4_high	D4_low
s_1523	PITX1	2121	2336	2404	3024	740	831	313	357
s_4390	JDP2	2489	2409	2804	3471	944	978	357	433
s_4796	FOXD4L1	1652	1776	1730	2287	107	85	41	38
s_2323	ZNF75D	1798	1980	1984	2596	34	54	34	29
s_3110	USP22	1743	1921	1855	2490	148	199	61	80
s_4162	ZSCAN10	1506	1905	1719	2272	517	592	196	284
s_4782	ZNF778	501	693	579	877	189	211	64	95
s_2429	ZNF180	2510	2763	2975	3758	812	958	323	384
s_5235	ZNF716	2807	3142	3086	4183	252	335	123	212
s_108	KLF9	1432	1532	1634	2034	503	524	210	232
s_1407	NHLH1	2709	3107	2964	3727	255	333	113	166
s_2247	ZNF16	1385	1562	1529	1983	102	111	35	60
s_4275	MSANTD3	2153	2479	2316	3167	252	255	105	130
s_4125	ZBTB37	1082	1240	1218	1454	57	113	18	29
s_487	MECOM	1745	1872	1993	2432	691	768	288	342
s_1460	OTX2	1632	1738	1820	2329	700	627	232	324
s_375	ELF2	2350	2764	2756	3695	893	928	335	448
s_2064	TFAP4	2187	2554	2582	3441	170	351	100	193
s_2740	CREB5	2289	2411	2607	3408	446	571	212	281
s_4748	GLIS3	2042	2200	2134	2926	113	147	57	81
s_4224	ZNF616	2116	2394	2486	3275	641	750	251	308
s_52	ASCL1	1358	1605	1736	2185	471	541	180	213
s_1354	NFE2	1922	2128	2079	2837	850	857	328	399
s_1572	POU3F1	2171	2434	2402	2961	285	284	115	144
s_5838	Non-Targeting Control	1750	1995	2040	2884	249	300	147	137
s_2306	MZF1	1262	1286	1501	1709	233	233	97	96
s_4369	ZNF641	2826	3075	3258	4127	1069	1161	445	515
s_2499	PRRC2A	3298	3371	3476	4542	1327	1454	503	593
s_727	HLA-DRA	2652	3094	2988	3760	553	552	215	236
s_4802	TIGD1	2329	2619	2655	3429	157	166	97	90
s_3294	RAX	2303	2662	2714	3630	826	905	299	420
s_1646	PURA	1541	1590	1606	2035	479	479	228	251
s_181	CEBPD	2243	2294	2321	3030	920	986	374	436
s_484	ETV6	1784	1994	1985	2563	673	756	291	310
s_2339	ZNF84	1425	1489	1691	2171	509	577	192	252
s_2526	ZNF212	3001	3290	3223	4531	499	573	184	226
s_2529	NR4A3	2750	3074	3043	4123	1166	1168	393	527
s_3899	IRX1	1970	2257	2183	2841	47	76	18	39
s_2248	ZNF16	2210	2471	2340	3160	38	76	14	38
s_5254	DPRX	3385	3787	3729	4992	1213	1385	555	583
s_186	CEBPE	2183	2565	2298	3186	176	310	84	68
s_3729	HIVEP3	1871	2036	2011	2611	689	782	284	351
s_104	FOXL2	1555	1680	1816	2284	603	654	254	307
s_4795	FOXD4L1	2443	2757	2656	3620	224	272	101	106
s_243	ATF6B	1534	1703	1700	2348	315	322	114	172
s_62	ATF1	2842	3142	3168	4070	416	496	192	247
s_1588	POU4F2	2848	3082	2920	3971	415	831	149	254
s_1932	STAT6	2838	3087	3263	4212	1082	1132	454	536
s_5546	Non-Targeting Control	2343	2596	2598	3431	334	390	126	172
s_3448	BNC2	3165	3540	3633	4461	1449	1593	532	722
s_4589	ZNF714	1514	1694	1734	2348	580	564	216	246
s_5087	ZNF81	3805	4206	4301	5588	1186	1363	481	617
s_5199	MED11	1888	2045	2075	2817	213	249	70	131
s_1747	CCL1	2160	2602	2564	3462	705	855	314	398
s_5700	Non-Targeting Control	1913	2266	2306	2797	577	597	278	270
s_5793	Non-Targeting Control	2382	2766	2745	3548	66	105	32	38
s_2668	GCM2	2128	2206	2218	3194	805	837	327	378
s_1710	RORC	1975	2274	2279	3000	331	355	139	144
s_1825	SOX3	2080	2286	2331	3103	548	665	238	269
s_1970	TBX15	2719	3118	3048	3956	796	1034	327	478
s_5639	Non-Targeting Control	2837	3145	3227	4032	1086	1228	444	556
s_3696	NEUROD4	2752	3057	2916	3875	1096	1120	420	553
s_3366	TFDP3	968	1212	1063	1501	116	159	46	89
s_5381	ZBED6	1791	1891	1908	2546	669	720	261	349
s_2144	NR2C2	1885	2081	2079	2821	656	695	275	343
s_3952	ZNF552	3013	3413	3360	4410	634	681	239	312
s_2955	ZNF273	2946	3265	3307	4155	1153	1209	505	576
s_3682	RBAK	1555	1794	1883	2306	624	661	216	288
s_2920	TBR1	2955	3385	3465	4525	791	1041	379	406
s_523	FOXI1	1939	2281	2288	3118	711	658	265	328
s_5893	Non-Targeting Control	3254	3727	3970	4948	1360	1413	547	637
s_240	ATF2	2097	2287	2485	3212	720	804	272	362
s_2701	NCR2	1131	1288	1261	1580	126	175	56	88
s_5439	Non-Targeting Control	1219	1404	1554	1929	485	590	206	276
s_2500	PRRC2A	2140	2376	2340	2981	33	55	18	20
s_2342	ZNF85	2354	2744	2851	3562	791	917	351	404
s_724	HLA-DQB2	1980	2149	2112	2713	157	161	74	75
s_5564	Non-Targeting Control	1647	1839	1984	2575	430	540	179	218
s_2933	SIX2	2293	2498	2468	3232	910	974	349	388
s_784	HNRNPK	2203	2463	2636	3276	324	441	152	154
s_3114	OTP	2214	2422	2328	3270	136	162	67	77
s_1687	RFX2	2342	2499	2632	3205	123	175	81	63
s_3242	TAF5L	1658	1801	1696	2227	393	465	191	203
s_2782	NR1D2	2085	2459	2558	3161	127	162	73	74
s_5612	Non-Targeting Control	1723	1887	1827	2452	764	812	352	394
s_4420	ZNF573	3457	3859	3741	4926	1640	1635	593	740
s_5287	ANHX	3549	4073	3795	5017	1236	1378	475	608
s_219	CCR6	3512	4061	4015	5243	1526	1484	587	737
s_3201	NKX2-8	2304	2553	2481	3328	707	782	282	348
s_5434	Non-Targeting Control	1530	1704	1896	2255	510	623	196	286
s_4536	ZNF480	2197	2404	2392	2987	764	859	286	388
s_1418	NKX3-1	2334	2459	2524	3370	699	705	270	337
s_1592	POU4F3	2458	2741	2906	3581	785	829	328	391
s_111	KLF5	2423	2650	2714	3655	875	983	400	408
s_5095	ZNF530	1904	2128	1975	2773	471	599	206	288
s_5710	Non-Targeting Control	2369	2459	2433	3214	211	28	9	14
s_941	HOXD13	1528	1674	1628	2073	139	175	79	70
s_3890	IRX6	2538	2815	2742	3509	234	258	91	143
s_2577	FOXN1	3227	3453	3415	4534	893	1022	434	434
s_321	E2F1	1883	2065	1899	2592	219	322	101	161
s_3205	EHF	2454	2679	2877	3577	914	1000	385	421
s_5808	Non-Targeting Control	1708	1843	2128	2458	709	767	294	334
s_72	ATF4	1263	1394	1437	1768	108	116	40	37
s_4630	BTNL9	2684	2979	2922	3851	771	786	310	369
s_1654	RARA	1372	1604	1396	1933	393	413	152	185
s_4819	NAIF1	1841	2133	2122	2749	106	170	44	88
s_3462	ZNF770	1698	1878	1866	2423	356	350	130	171
s_710	MNX1	1316	1467	1430	1988	253	258	77	75
s_891	HOXC9	2053	2153	2415	3035	469	526	172	309
s_4137	GLIS2	2039	2066	2271	2910	419	443	172	161
s_5379	ZBED6	2727	3261	3204	4186	165	203	71	84
s_4	ABCF1	2985	3235	3359	4248	1297	1360	477	621
s_1706	RORB	1915	2002	2268	2732	596	673	269	293
s_475	ETV4	3776	4097	4238	5454	1021	1220	396	584
s_2869	ZNF211	1906	2089	1971	2631	742	823	264	349
s_2843	KLF2	1650	1764	1827	2230	93	72	26	42
s_5703	Non-Targeting Control	1827	2078	2185	3028	313	397	141	197
s_5105	FOXD4L4	1535	1735	1681	2131	550	593	202	269
s_4989	ZFP41	2485	2762	2633	3767	892	1023	340	454
s_2006	TCF12	2393	2626	2666	3348	540	634	244	293
s_3778	NEUROG2	3183	3604	3574	4548	1199	1346	441	583
s_169	CDX4	2328	2737	2638	3448	537	648	209	285
s_2803	CEBPZ	3314	3778	3884	4928	168	120	61	79
s_5051	BARHL2	2427	2621	2554	3448	527	586	226	273
s_2840	HMG20B	1575	1763	1743	2299	568	627	240	251
s_617	GBX2	1341	1459	1502	1895	548	600	219	251
s_3371	KLF3	1093	1251	1193	1576	327	401	150	197
s_4470	ZNF786	1515	1598	1647	2182	401	427	160	243
s_1198	MAX	2646	3050	3001	3956	757	879	261	378
s_3096	CIC	2259	2256	2337	3100	781	863	323	369
s_943	HOXD13	4073	4595	4473	5757	1828	1883	700	809
s_4432	ZNF684	3699	4024	4198	5624	1396	1518	544	706
s_2455	ZNF202	2520	2924	2933	3896	1033	1063	425	544
s_2824	ZNF443	2660	2975	2914	4074	99	150	46	49
s_4887	BCL6B	2609	2857	2899	3791	1004	1041	391	475
s_4677	ZNF550	3061	3431	3335	4367	278	356	134	137
s_2648	TBX19	2123	2391	2364	3010	607	724	259	318
s_5392	ZNF891	2893	3064	3164	4153	1022	1182	411	509
s_976	IFNGR1	2976	3312	3515	4265	95	132	71	46
s_2516	TFEB	2684	2986	2810	3806	779	875	306	400
s_5879	Non-Targeting Control	2347	2570	2584	3384	517	516	223	232
s_5356	FOXO6	1118	1234	1291	1620	160	196	51	95
s_4348	OSR2	1044	1196	1269	1561	25	24	17	11
s_471	ETV3	1596	1779	1723	2283	247	307	116	178
s_2948	ZNF266	1864	2022	2265	2811	662	704	274	322
s_1960	TBX2	1450	1744	1672	2197	585	604	194	282
s_3998	ZNF430	3338	3638	3871	4939	999	1099	423	513
s_5309	ZNF736	2923	3187	3417	4071	682	805	314	364
s_3476	ELP2	2968	3269	3444	4598	1021	1089	396	508
s_1124	JUN	3191	3859	3618	4887	1343	1544	552	734
s_5918	Non-Targeting Control	2702	3045	3086	4198	604	656	236	335
s_4909	ZNF311	2780	3351	3262	4131	1062	1095	493	557
s_3677	ZNF529	2504	2676	2873	3563	835	972	346	442
s_1917	STAT4	3428	3911	3712	4870	1397	1421	512	659
s_5107	ZNF429	2386	2672	2715	3592	94	142	48	71
s_250	CREM	1672	1866	1851	2478	535	537	210	242
s_2157	NR1H2	1185	1280	1309	1654	323	313	133	151
s_4330	ZNF257	3104	3538	3554	4572	668	791	272	366
s_4059	MXD3	2911	3145	3039	4067	1001	1070	380	487
s_5429	Non-Targeting Control	2680	2761	3041	3761	932	994	354	424
s_4610	GLIS1	2339	2573	2631	3511	688	729	296	359
s_2504	GPANK1	1553	1657	1716	2320	557	591	222	260
s_198	FOXN3	2381	2618	2801	3714	897	979	340	397
s_4293	ZNF764	1321	1489	1677	1902	399	418	170	178
s_5894	Non-Targeting Control	2763	3139	3069	4040	982	1041	383	458
s_1694	RFX4	1407	1434	1583	1966	529	543	189	253
s_4692	ZNF564	2031	2327	2390	2990	937	973	343	425
s_5082	ZNF879	1074	1186	1170	1695	122	282	118	165
s_292	DLX2	3027	3227	3424	4396	1005	1152	410	562
s_897	HOXC11	1469	1749	1598	2179	524	650	229	262
s_971	IRF8	2036	2659	2379	3654	167	277	74	111
s_2915	GMEB1	2434	2737	2570	3543	883	1060	360	462
s_919	HOXD4	2464	2560	2654	3445	749	653	234	333
s_4026	PBX4	2349	2593	2642	3366	223	236	107	99
s_177	CEBPB	1551	1979	1844	2191	48	65	20	15
s_4660	ZFP1	2999	3360	3521	4350	226	273	72	79
s_5941	Non-Targeting Control	1123	1286	1220	1629	493	568	203	220
s_442	ESRRA	1682	1868	2010	2483	335	318	132	156
s_3006	ZHX1	1788	1997	1975	2549	68	66	39	34
s_3690	ZNF410	992	1168	1050	1437	352	401	120	198
s_2149	TWIST1	2045	2386	2251	3038	600	673	247	333
s_1295	MYC	1154	1320	1280	1726	58	45	23	30
s_3092	HIC2	2052	2166	2219	2943	169	201	155	78
s_450	ESRRG	2393	2697	2585	3319	65	65	23	27
s_3286	TBX21	1186	1260	1273	1721	111	123	51	59
s_4491	ZFP92	1961	2160	2120	2978	462	448	176	245
s_2785	NR2E3	2333	2585	2639	3294	915	1082	398	473
s_774	HNF4G	2812	3085	3071	4167	949	1017	372	444
s_282	DDIT3	2577	2905	2902	3822	521	584	234	236
s_850	HOXB4	1746	2085	1886	2545	153	189	47	92
s_5102	ZNF713	3951	4450	4376	5962	1593	1700	676	767
s_4588	ZNF714	3376	3843	3891	5095	779	822	327	372
s_5752	Non-Targeting Control	1965	2301	2380	3067	651	820	278	380
s_4015	ZSCAN16	2306	2611	2699	3368	913	1043	395	449
s_1804	SLAMF1	3344	3868	3736	5009	86	116	44	55
s_5271	DRGX	2639	3027	3179	4038	1008	1101	418	481
s_5188	HES3	2441	2705	2754	3536	580	555	240	270
s_777	ONECUT1	1355	1529	1580	1984	157	171	50	64
s_5980	Non-Targeting Control	2915	3158	3317	4376	488	515	208	239
s_4710	ZNF383	3798	4107	4325	5386	1537	1613	557	764
s_2271	ZNF23	2044	2470	2569	3232	388	462	181	185
s_1009	IL4R	2458	2629	2686	3487	906	1019	378	496
s_734	HLF	2677	2998	2887	3849	780	853	287	406
s_2294	ZKSCAN1	1695	1912	1943	2523	22	32	10	16
s_3341	ZNF691	1917	2228	2112	2784	489	542	186	276
s_5854	Non-Targeting Control	1983	2158	2186	2911	773	845	333	418
s_3311	ZNF354C	2071	2415	2316	2996	241	325	146	138
s_3160	VAX2	3178	3600	3680	4709	653	709	280	338
s_3331	FOXP3	2878	3188	3179	4055	932	1010	349	425
s_4839	ZNF485	1636	1760	1812	2354	467	582	230	247
s_535	FOXJ1	1249	1399	1366	1878	474	507	179	242
s_4361	ZNF354B	2922	3320	3386	4332	1285	1342	501	578
s_5056	MSGN1	1898	2238	2133	2761	429	571	177	267
s_5978	Non-Targeting Control	1333	1363	1488	2016	648	669	260	318
s_3879	ZNF655	2425	2838	2797	3536	1044	1085	434	502
s_5571	Non-Targeting Control	2265	2591	2452	3428	894	956	294	448
s_1642	PTPRC	2153	2331	2314	2992	812	898	331	407
s_3130	PATZ1	1629	1927	1893	2507	100	114	52	54
s_754	HMX2	1882	2203	2129	2840	51	82	19	32
s_3999	ZNF430	3381	3705	3915	4789	1024	1187	401	559
s_1658	RARB	1968	2407	2356	3022	911	965	347	405
s_474	ETV4	3418	3829	3774	5011	82	91	31	49
s_881	HOXC6	2108	2311	2262	3191	289	469	97	192
s_3038	IKZF2	2409	2831	2816	3724	811	939	314	411
s_631	GLI1	2757	3110	3082	3915	320	331	117	134
s_4966	ZNF621	2509	2830	2845	3665	920	949	375	450
s_2770	MED12	2835	3169	3076	3987	1220	1293	454	558
s_934	HOXD11	1044	1228	1130	1575	385	462	151	203
s_4234	MED30	2280	2461	2394	3367	825	862	312	365
s_1256	NR3C2	1597	1705	1601	2196	575	622	228	294
s_1752	CCL2	2302	2534	2667	3376	281	286	115	123
s_2275	ZNF26	1958	2197	2091	2882	641	738	186	319
s_1078	INSM1	1960	2332	2264	2929	755	807	325	392
s_2706	HAND2	720	786	766	962	230	296	89	103
s_1906	STAT1	3285	3659	3864	4862	1251	1293	475	585
s_401	EMX1	2823	3152	2915	3844	56	121	41	47
s_5741	Non-Targeting Control	1825	1942	2053	2782	343	394	101	164
s_290	DLX2	1837	1930	1919	2659	719	815	302	355
s_1195	MAFG	2596	2740	2680	3781	872	938	303	429
s_4379	SPIC	2114	2359	2364	2991	330	379	133	164
s_4837	ATOH7	1886	2159	2123	2837	186	151	71	89
s_1930	STAT6	1426	1693	1584	1998	221	321	109	118
s_5999	EGFP	2574	2893	2903	3775	198	230	83	95
s_3624	ZNF248	2197	2410	2599	3339	453	522	198	222
s_3001	SOX21	1169	1422	1324	1803	453	496	161	235
s_1651	RAD21	1449	1606	1654	2196	481	514	192	235
s_3825	IKZF5	2232	2556	2462	3123	777	855	344	395
s_1995	TCF7	2116	2272	2308	3102	429	484	157	225
s_3387	ZNF117	2958	3199	3263	4421	586	673	222	277
s_3631	ZNF304	2720	3089	2950	3981	861	980	352	446
s_708	HLA-C	1715	1992	1865	2492	339	454	121	163
s_2639	MBD2	1780	1896	1913	2596	172	313	72	93
s_4270	ZNF682	3121	3374	3580	4581	1219	1290	487	582
s_3029	TFEC	2438	2696	2804	3441	1135	1171	413	516
s_4640	ZNF483	2046	2219	2277	2966	856	844	343	395
s_587	NR5A1	1486	1666	1610	2124	213	251	82	124
s_4732	ZNF679	3106	3321	3333	4398	1209	1343	509	552
s_4263	ZNF697	1295	1477	1557	1902	491	553	169	236
s_674	GZMB	1085	1296	1075	1603	428	439	138	221
s_1721	RXRB	2088	2106	2204	2976	833	770	315	361
s_3665	ZFP14	1313	1476	1505	1800	554	582	238	261
s_5	AGER	1750	1903	1931	2621	378	446	98	187
s_1178	SMAD4	2195	2439	2436	3078	570	572	228	294
s_3471	THAP1	2432	2737	2880	3663	944	984	356	448
s_79	BACH1	2832	2988	3060	4060	807	883	334	384
s_5837	Non-Targeting Control	1895	2205	2314	2869	201	199	88	124
s_2950	ZNF274	2166	2359	2337	3031	617	711	281	294
s_3028	RBPJL	2158	2321	2417	3106	338	467	174	161
s_3638	AHRR	2230	2662	2638	3518	223	233	86	109
s_2258	ZNF19	1137	1420	1332	1708	321	401	166	190
s_4647	RHOXF1	1971	2264	2278	3009	312	336	155	168
s_210	CCR4	3226	3651	3850	4841	1103	1184	537	565
s_5676	Non-Targeting Control	2318	2611	2743	3597	72	83	28	38
s_3061	FOXJ3	2613	2877	2872	3781	441	535	198	211
s_2826	IRX5	1183	1291	1241	1732	360	351	126	175
s_4057	MXD3	1691	1884	1909	2387	543	609	258	300
s_5550	Non-Targeting Control	3203	3561	3398	4766	1411	1546	565	717
s_3837	EBF2	2046	2162	2240	2912	327	396	165	178
s_5457	Non-Targeting Control	1760	1969	1972	2494	645	656	247	287
s_3388	ZNF117	2522	2692	2928	3777	931	1020	376	468
s_3079	MYT1L	971	1102	1050	1444	190	273	110	128
s_3174	HINFP	2424	2782	2857	3480	467	535	176	220
s_3100	MGA	1166	1371	1436	1807	474	553	175	270
s_302	DLX5	1728	1840	1969	2613	581	548	198	234
s_2964	ARID5A	2017	2354	2168	3044	223	389	114	97
s_2397	ZNF146	2936	3387	3135	4283	229	318	102	107
s_594	GATA1	1554	1619	1575	2075	93	105	42	53
s_2542	HMGA2	1574	1649	1660	2225	203	295	98	117
s_3447	BNC2	1309	1504	1509	2011	512	591	220	240
s_2137	NR2C1	2277	2514	2524	3311	438	472	173	199
s_3200	GMEB2	1983	2255	2380	3010	566	542	171	250
s_5103	FOXD4L4	3920	4250	4048	5337	1708	1658	635	792
s_4661	ZFP1	2262	2576	2614	3484	820	828	314	396
s_4778	ZNF675	3339	3764	3879	4960	1318	1509	563	661
s_4302	ZNF276	2359	2796	2670	3610	951	1095	376	476
s_977	IFNGR2	1976	2419	2225	3024	182	216	86	111
s_4255	ZNF479	2236	2515	2537	3430	861	896	309	428
s_4029	LY6G5C	2735	3150	3050	3959	374	432	140	199
s_5009	ZNF260	1445	1634	1627	2120	402	532	193	203
s_4358	OLIG1	2205	2395	2497	3155	301	384	121	172
s_291	DLX2	1130	1253	1241	1603	80	80	24	32
s_2514	TFEB	2722	3062	3130	4012	364	422	144	200
s_3500	SOX6	4062	4621	4734	6291	1389	1576	549	740
s_5936	Non-Targeting Control	1900	2173	2235	2859	109	167	60	70
s_4351	FOXP4	1698	1763	1735	2229	678	698	239	348
s_5537	Non-Targeting Control	1762	1962	1940	2572	772	817	280	394
s_1584	POU4F1	1965	2238	2190	2794	154	157	84	87
s_3931	E2F8	2260	2562	2552	3249	857	866	320	429
s_3802	LHX5	1944	2157	2153	2872	711	839	296	338
s_3227	FOXD3	2840	3227	3292	4360	1070	1216	417	573
s_2506	DDX39B	1926	2143	2021	2817	702	841	308	361
s_4375	ASCL4	1025	1260	1189	1559	78	84	29	38
s_2196	ZFX	3231	3421	3721	4797	414	417	165	202
s_4141	HES7	1035	1357	1172	1526	34	58	19	15
s_348	E4F1	2095	2371	2349	3115	246	290	81	88
s_5094	TBX10	2617	3010	2982	4170	204	313	104	158
s_3310	ZNF354C	1939	2161	2167	2859	559	549	201	292
s_1837	SOX9	1572	1599	1704	2107	578	559	195	263
s_2167	USF2	1991	2297	2256	2983	79	127	67	44
s_515	FOXD1	714	767	713	1064	270	278	88	108
s_637	GLI3	2398	2886	2805	3646	1121	1230	451	555
s_4307	PRDM6	1751	2061	1924	2708	117	143	52	51
s_1990	TCF3	2458	2788	2737	3633	80	84	35	50
s_2681	KLF4	2668	3069	3109	4057	719	833	307	373
s_498	FOXG1	1471	1615	1731	2044	560	558	208	251
s_1283	MYB	1573	1833	1768	2434	212	280	113	108
s_2367	ZNF133	2834	3034	3039	4055	1136	1313	482	617
s_718	HLA-DQB1	1323	1391	1452	1958	18	24	13	8
s_5624	Non-Targeting Control	2755	3057	2964	4032	501	588	216	267
s_3568	BTNL2	1554	1693	1696	2272	628	697	244	327
s_2578	FOXN1	2850	3056	3083	4342	942	1157	434	500
s_1986	HNF1B	1257	1443	1452	1764	459	469	181	212
s_5590	Non-Targeting Control	2634	2868	2828	3839	805	1000	383	424
s_5506	Non-Targeting Control	2163	2368	2455	3189	752	810	324	409
s_750	HMX1	1053	995	1143	1468	431	463	158	202
s_5666	Non-Targeting Control	1412	1669	1577	2096	17	19	4	16
s_5745	Non-Targeting Control	1831	1991	2019	2703	685	750	260	318
s_4329	ZNF257	1651	1880	2008	2646	650	712	247	322
s_924	HOXD8	1531	1671	1813	2295	129	135	44	71
s_2977	VAX1	1853	1979	2017	2694	673	757	288	346
s_1571	POU3F1	1358	1493	1474	1906	500	509	211	205
s_241	ATF6B	2995	3373	3416	4620	578	594	242	286
s_1100	IRF4	2164	2370	2303	3220	808	919	297	430
s_2714	TBX4	2641	2985	3011	3779	104	143	46	40
s_965	FOXN2	2319	2682	2546	3472	728	828	294	392
s_1647	PURA	1298	1402	1462	1893	151	141	84	79
s_655	GSC2	1169	1337	1276	1786	443	461	197	218
s_4585	ZNF98	2103	2439	2446	3121	720	786	286	373
s_2777	NR1H4	3147	3398	3426	4512	1359	1411	525	670
s_516	FOXD1	2092	2424	2209	3022	361	424	176	176
s_1292	MYBL2	1780	1939	1915	2308	531	612	237	279
s_422	NR2F6	1167	1297	1203	1749	94	130	46	57
s_1542	PLAGL1	1797	2061	2096	2822	555	639	248	294
s_2988	PRDM4	2633	2902	2961	3895	594	466	263	305
s_5409	Non-Targeting Control	1650	1801	1866	2456	513	598	217	294
s_1763	CCL5	1899	2065	2376	3034	122	131	57	81
s_5407	Non-Targeting Control	2084	2191	2335	2996	414	427	173	190
s_2539	FOSL1	3517	4071	4164	5380	1325	1482	582	632
s_3983	ZNF442	2708	3006	3045	3925	1204	1250	473	546
s_3498	SOX6	2330	2614	2624	3450	723	866	307	357
s_1793	SIX3	2674	3040	2875	3865	829	842	299	379
s_5291	SKOR2	2597	3003	2985	3868	1007	1112	385	468
s_4556	ZNF524	2157	2398	2551	3249	1002	1090	413	492
s_342	E2F6	1991	2187	2270	2844	605	694	257	334
s_586	NR5A1	1514	1574	1482	2120	577	656	225	298
s_5902	Non-Targeting Control	1614	1621	1653	2188	118	134	47	69
s_136	CBFB	1813	1965	2136	2677	664	744	229	313
s_5302	FOXD4L5	1482	1724	1657	2292	678	686	271	295
s_3171	ZNF521	2991	3418	3576	4390	660	704	248	324
s_5401	Non-Targeting Control	3186	3395	3470	4678	487	526	211	229
s_4301	ZNF276	2648	2751	2903	3837	870	980	319	420
s_5068	FOXI3	1390	1603	1625	2041	337	405	149	187
s_363	EGR3	2945	3312	3541	4395	113	142	43	62
s_1594	POU5F1	1537	1722	1656	2159	576	640	250	273
s_3281	ICOS	3198	3654	3970	4969	608	661	277	341
s_2771	MED12	1703	1906	1913	2543	688	800	272	333
s_3113	OTP	2715	2966	2893	3674	905	931	293	428
s_2590	GCM1	2969	3471	3419	4625	1205	1200	475	569
s_4045	ZNF611	4169	4600	4447	6057	129	164	56	72
s_4296	CENPBD1	2665	3090	3236	4041	496	644	272	323
s_2001	ZEB1	5107	5917	5663	7559	1901	2012	711	887
s_2733	SOX13	2733	3046	3154	4105	1355	1346	526	606
s_2969	IL24	1572	1771	1755	2306	589	644	261	330
s_4163	ZSCAN10	1458	1593	1632	2057	558	631	237	293
s_986	IL1R1	2655	2922	2963	3895	855	954	365	485
s_1695	RFX4	3563	3974	3912	5146	1322	1507	576	683
s_1621	PRKRIR	2275	2513	2704	3572	847	871	318	383
s_2194	ZFX	2661	3015	2923	3910	1034	1129	403	513
s_571	FOS	1773	1908	1924	2603	615	681	248	307
s_5111	ZNF445	2688	2805	2819	3646	68	125	29	65
s_2882	AGPAT1	2622	2801	2818	3769	976	1117	419	474
s_1630	PROX1	1533	1763	1846	2372	566	628	211	282
s_5964	Non-Targeting Control	290	220	231	363	117	140	58	47
s_2396	ZBTB16	1940	2148	2200	2803	847	866	349	391
s_1620	MAP2K1	2452	2765	2689	3361	1041	1115	403	475
s_1375	NFIL3	1751	1977	1962	2658	654	752	244	308
s_3066	ZBTB1	2044	2255	2145	2989	658	765	290	315
s_2605	KLF7	2816	2949	2794	3848	637	707	245	319
s_4084	MIXL1	1796	1863	1964	2592	206	278	98	178
s_3838	EBF2	1345	1597	1580	1952	406	452	141	194
s_5059	FIGLA	2217	2471	2690	3495	904	900	338	414
s_2055	TFAP2B	2785	3068	2907	3981	870	931	388	436
s_374	ELF2	978	1075	1007	1429	273	329	131	153
s_3477	ZNF444	1563	1748	1648	2175	332	425	137	156
s_3080	MYT1L	2652	2851	2869	3738	646	807	286	363
s_2593	YBX3	1312	1483	1516	1796	407	416	160	227
s_4288	ZNF300	2668	3038	3201	4075	1196	1285	442	506
s_272	CTLA4	2941	3308	3413	4414	89	86	29	42
s_1262	MSH5	3450	3938	3963	5038	1245	1270	492	547
s_2091	TGFB1	1979	2175	2196	2906	177	183	62	89
s_436	ESR1	2397	2549	2538	3425	779	733	299	369
s_4947	ZNF615	2868	3215	3282	4248	938	1025	390	447
s_5819	Non-Targeting Control	2153	2275	2445	3273	185	231	78	74
s_1652	RAD21	2273	2408	2464	3340	82	108	36	58
s_1085	IRF1	2256	2553	2567	3376	455	582	187	194
s_1786	SIM2	2250	2616	2605	3378	690	883	308	396
s_378	ELF3	1594	1813	1822	2546	578	607	219	302
s_5465	Non-Targeting Control	1896	2157	2152	2815	375	382	146	196
s_4820	NAIF1	1733	2840	2812	3575	198	317	109	150
s_682	HIC1	3459	3820	3714	4804	1228	1317	501	602
s_5888	Non-Targeting Control	2420	2538	2533	3443	231	295	64	216
s_2154	UBP1	2954	3077	3260	4147	1329	1448	546	698
s_2230	ZNF8	2551	2867	2985	3913	1115	1198	426	517
s_4196	LBX2	2046	2314	2352	2897	183	213	64	68
s_2420	ZNF174	3641	3866	3853	5070	356	375	141	181
s_4042	TIGD6	1606	1670	1662	2344	276	305	133	147
s_4237	ZNF799	1709	1857	1997	2591	587	670	250	301
s_5981	Non-Targeting Control	1529	1801	1755	2273	495	495	210	246
s_796	HOXA1	2633	2811	3026	4136	782	823	290	361
s_1430	NPAS2	3280	3479	3885	4899	562	608	206	344
s_3634	ZNF490	2642	2882	2917	4069	1030	1050	406	526
s_2383	ZNF140	3686	4031	4017	5477	737	879	303	407
s_2719	ZNF254	2062	2232	2263	3017	550	569	222	299
s_3922	ZNF768	1094	1194	1206	1520	368	409	154	177
s_1520	PHF1	3801	4129	4191	5604	1506	1676	651	693
s_5946	Non-Targeting Control	1681	1795	1935	2405	582	625	236	287
s_5337	TCF24	1838	2095	2171	2804	861	1023	353	439
s_4995	SNAI3	1620	1736	1759	2339	462	548	216	239
s_3390	ZNF589	2355	2553	2550	3300	805	849	299	396
s_5907	Non-Targeting Control	1416	1678	1576	2048	193	164	77	88
s_877	HOXC5	2848	3222	3502	4395	821	848	270	362
s_3595	ATXN7L3	1258	1390	1476	1839	295	293	108	142
s_1467	PAX1	1939	2011	1948	2651	395	408	187	215
s_3181	ZBTB20	2028	2275	2402	3137	357	435	142	192
s_5591	Non-Targeting Control	2438	2707	2734	3574	881	909	308	432
s_1519	PHF1	3484	3882	3874	5256	1140	1258	463	566
