sgRNA	Gene	D1_high	D1_low	D2_high	D2_low	D3_high	D3_low	D4_high	D4_low
s_1992	TCF3	2865	2964	3261	4067	1037	1108	349	477
s_886	HOXC8	1993	2266	2330	2927	789	806	338	381
s_1976	TCF4	1314	1439	1493	1917	207	217	131	86
s_4287	ZNF300	2445	2861	2788	3648	527	530	202	252
s_4652	HSFY2	3033	3170	3409	4367	1139	1187	468	557
s_5686	Non-Targeting Control	1334	1575	1531	2317	617	681	216	312
s_5189	HES3	1510	1582	1616	2023	576	706	247	266
s_4608	GLIS1	1964	2240	2191	2837	167	195	66	73
s_3012	PTGDR2	2090	2506	2497	3264	119	153	57	82
s_2796	NR1H3	2254	2513	2594	3377	442	496	194	212
s_642	GLI4	2079	2312	1998	2949	671	766	288	341
s_5720	Non-Targeting Control	3352	3743	3704	4872	809	977	358	450
s_1059	IL13	4085	4465	4568	5793	1075	1295	479	508
s_2762	ARNT2	3198	3490	3451	4533	1117	1248	488	565
s_454	ETS1	2373	2553	2403	3292	790	890	305	424
s_216	CCR5	2652	2975	2996	3882	266	292	101	151
s_863	HOXB7	1622	1841	1974	2474	330	338	126	162
s_5535	Non-Targeting Control	1747	1907	2131	2747	367	422	158	173
s_716	HLA-DPB1	2884	3319	3066	4195	1147	1243	484	537
s_3128	ZNF281	2974	3282	3292	4442	801	757	315	377
s_4447	OSR1	2509	2849	2683	3519	868	904	314	420
s_1567	POU2F2	1840	2054	1989	2624	71	71	36	32
s_2321	ZNF75D	2149	2312	2374	3068	456	474	195	227
s_3317	NEUROG3	2139	2433	2404	3084	619	646	228	341
s_5706	Non-Targeting Control	2516	2897	2952	3682	194	236	93	117
s_3671	ZBTB26	3351	3856	3968	5005	110	142	54	74
s_3334	TBX22	1645	1890	1757	2375	619	618	251	254
s_2217	ZNF3	1698	1780	1814	2420	745	786	265	336
s_2576	NR0B2	1524	1711	1679	2161	507	577	222	280
s_2839	HMG20B	3508	3980	3973	5409	1395	1478	563	677
s_2241	ZNF708	2377	2747	2836	3681	904	931	350	416
s_2195	ZFX	2059	2291	2388	3183	411	518	124	201
s_1285	MYBL1	3690	4263	4178	5604	1170	1245	454	580
s_4687	ZNF791	4792	5274	5368	7075	1096	1301	544	593
s_1291	MYBL2	2118	2305	2369	3244	796	895	350	403
s_4676	ZNF550	2585	2851	2947	3728	1036	1141	431	524
s_2400	ZNF146	2553	2866	3048	3828	941	1015	412	427
s_517	FOXD4	1180	1285	1339	1692	233	263	116	102
s_815	HOXA6	2584	2983	2998	3885	812	950	316	428
s_2467	ZNF214	2320	2536	2648	3426	827	856	323	373
s_3833	CPEB1	2608	3005	3094	3961	1064	1238	453	616
s_5146	SP5	1588	1720	1748	2370	689	672	245	338
s_331	E2F3	1998	2285	2241	2820	668	726	255	310
s_494	BPTF	2663	2890	2831	3883	974	1077	413	461
s_3668	ZFP14	2084	2367	2382	3079	694	769	265	359
s_5307	ZNF736	4593	5159	5373	6970	1985	2153	848	878
s_948	HES1	2288	2817	2660	3384	448	370	136	178
s_2806	ZNF197	2789	3176	3239	4454	613	754	210	341
s_4638	NKX6-3	2479	2643	2656	3511	748	930	324	367
s_2075	NR2F2	2150	2498	2557	3333	381	372	191	209
s_2774	NR1I3	2618	2792	2810	3780	929	975	341	480
s_13	AHR	1818	1978	2000	2572	698	640	260	307
s_3786	PRDM16	1723	2063	1994	2679	17	17	1	5
s_1715	RREB1	2146	2388	2375	3200	626	648	215	285
s_2768	MAFB	1666	1793	1856	2464	306	263	120	127
s_5762	Non-Targeting Control	1815	1943	1900	2531	341	464	142	188
s_426	ERF	1825	2021	2079	2530	374	425	177	201
s_3689	ZNF410	2268	2528	2454	3296	897	926	352	431
s_4044	TIGD6	2669	3132	3019	4009	536	608	232	306
s_554	FOXS1	2402	2744	2877	3417	856	1068	390	431
s_60	ZFHX3	2765	3031	3250	3952	682	764	293	338
s_5380	ZBED6	3144	3550	3437	4586	517	624	231	302
s_1808	SNAI2	1547	1650	1676	2169	666	722	288	310
s_509	FOXC1	2160	2505	2537	3125	490	449	170	187
