sgRNA	Gene	D3_high	D3_low	D4_high	D4_low
s_3531	IL26	388	486	200	213
s_3328	C6orf48	602	687	248	280
s_1637	PTEN	1262	1370	501	573
s_3516	ZNF334	818	917	306	397
s_1449	SIX6	322	356	121	132
s_2010	TCF15	553	600	211	306
s_3420	SIX4	863	911	338	398
s_2419	ZNF174	906	958	327	411
s_187	CEBPE	993	1146	420	514
s_1902	SS18	777	893	300	404
s_3961	ZNF671	733	805	269	379
s_3581	MEIS3	950	1003	317	435
s_925	HOXD9	599	721	278	315
s_3390	ZNF589	805	849	299	396
s_996	IL2RA	863	1155	340	460
s_3268	ZBTB44	1679	1918	723	863
s_1712	RORC	1308	1494	492	584
s_1957	TBX2	430	475	178	245
s_5791	Non-Targeting Control	491	569	206	254
s_4817	TUBB	775	892	341	497
s_4893	ZNF549	897	1005	394	464
s_3662	ZBTB4	535	626	228	289
s_1821	SOX2	917	1019	381	507
s_3759	ZNF667	80	100	44	33
s_2856	BTN2A2	1030	1150	423	473
s_4966	ZNF621	920	949	375	450
s_2143	NR2C2	640	704	253	331
s_4291	ZNF764	480	472	201	220
s_2137	NR2C1	438	472	173	199
s_4779	ZNF778	1239	1314	514	587
s_947	HES1	413	450	154	246
s_4951	ZFP82	635	678	214	274
s_4288	ZNF300	1196	1285	442	506
s_5515	Non-Targeting Control	691	761	264	331
s_3874	ZNF649	767	871	333	392
s_51	ASCL1	508	479	183	244
s_1356	NFE2	1007	1060	397	462
s_4323	IL17F	859	901	348	428
s_4003	TET1	673	684	300	344
s_3464	ZNF770	632	765	252	381
s_2534	LHX3	1281	1409	603	655
s_5125	ZNF808	422	443	157	221
s_3300	SOX8	210	290	95	122
s_3084	ZNF423	861	916	329	422
s_1267	MSX1	211	197	101	111
s_1737	SALL1	748	811	316	359
s_5909	Non-Targeting Control	156	185	55	70
s_3578	BARHL1	410	432	167	176
s_4428	DMBX1	171	197	57	91
s_5408	Non-Targeting Control	1417	1502	575	665
s_3041	ATF5	688	700	267	339
s_4037	ZNF436	1105	1161	443	531
s_2684	KLF4	794	891	318	388
s_4848	SP8	694	718	268	349
s_3201	NKX2-8	707	782	282	348
s_4109	LCOR	565	615	230	307
s_2235	ZNF10	255	239	119	138
s_178	CEBPB	691	754	286	349
s_5427	Non-Targeting Control	444	428	147	215
s_1049	IL12RB1	284	320	128	152
s_625	GFI1	536	547	216	285
s_5190	HES3	163	198	61	82
s_1413	NKX2-2	734	823	282	355
s_3445	BNC2	42	69	32	26
s_1048	IL12B	979	1060	392	458
s_2206	ZIC2	464	526	208	253
s_3168	ZNF345	1018	1127	400	459
s_1743	SATB1	626	759	267	328
s_5346	ZNF316	276	349	117	118
s_835	HOXA13	602	625	244	241
s_3658	ZBTB2	823	951	375	444
s_3377	ZNF771	1083	1144	426	503
s_5776	Non-Targeting Control	201	205	75	106
s_1723	RXRB	605	530	215	269
s_5711	Non-Targeting Control	48	55	22	22
s_304	DLX5	681	759	277	361
s_5042	ZNF284	1010	1095	383	472
s_2215	ZNF2	847	921	304	407
s_3290	TLX3	752	796	277	353
s_2938	PHTF1	1685	1891	686	826
s_4736	ZNF467	683	762	295	363
s_3941	ZFHX4	1179	1265	478	581
s_2162	USF1	373	422	141	172
s_4277	ZNF502	929	993	354	395
s_3078	MYT1L	240	379	122	176
s_2221	ZNF711	1161	1279	507	528
s_169	CDX4	537	648	209	285
s_5812	Non-Targeting Control	572	554	205	272
s_3412	KLF13	567	583	231	268
s_2972	IL24	206	336	110	125
s_2149	TWIST1	600	673	247	333
s_1699	RFX5	547	691	273	277
s_5693	Non-Targeting Control	1202	1269	483	589
s_1187	SMAD9	563	651	218	294
s_5455	Non-Targeting Control	837	1037	378	500
s_522	FOXI1	771	869	317	358
s_4838	ATOH7	268	277	107	155
s_1494	PAX9	341	411	129	158
s_4197	SCRT2	527	603	209	290
s_3842	ZNF574	448	503	155	228
s_224	CCR7	473	556	164	227
s_1464	OVOL1	532	567	200	225
s_2130	TP53	504	488	206	253
s_3375	ZNF571	744	821	295	410
s_2808	ZNF197	613	695	242	312
s_3190	ZNF337	824	887	334	378
s_763	FOXA2	789	839	302	384
s_1185	SMAD9	1474	1498	543	695
s_1517	PHF1	941	1011	368	444
s_3186	ZNF658	1507	1744	664	809
s_4395	ZFP3	1038	1173	389	480
s_5792	Non-Targeting Control	860	930	309	386
s_4573	ZNF565	592	695	140	273
s_3854	ISL2	283	302	116	168
s_3307	CXXC1	1037	1073	438	478
s_5692	Non-Targeting Control	651	442	242	304
s_945	HES1	202	221	77	96
s_617	GBX2	548	600	219	251
s_4815	TUBB	616	663	247	291
s_1612	PPARD	757	849	276	378
s_4488	FOXR2	898	1020	391	434
s_4891	ZNF549	500	552	195	263
s_2787	NR2E3	520	594	175	245
s_249	CREM	908	929	357	440
s_2382	ZNF140	590	557	259	303
s_3511	ZNF416	845	944	299	406
s_1658	RARB	911	965	347	405
s_4519	MESP2	823	889	300	388
s_1152	LTA	595	723	250	322
s_1307	MYF5	807	929	362	395
s_1167	MXD1	382	411	206	180
s_3123	HEY2	727	734	292	312
