sgrna	Gene	control_count	treatment_count	control_mean	treat_mean	LFC	control_var	adj_var	score	p.low	p.high	p.twosided	FDR	high_in_treatment
s_2828_r3	IRX5	278.19	330.66	278.19	330.66	0.24846	1376.6	2758.6	0.99904	0.84111	0.15889	0.31778	0.99995	True
s_1466_r3	PAX1	278.19	330.66	278.19	330.66	0.24846	1376.6	2758.6	0.99904	0.84111	0.15889	0.31778	0.99995	True
s_231_r3	KLF6	1391	1273.7	1391	1273.7	-0.127	6878.8	13793	0.99872	0.15897	0.84103	0.31793	0.99995	False
s_413_r3	EN2	304.37	359.24	304.37	359.24	0.23838	1505.1	3018.2	0.99866	0.84102	0.15898	0.31796	0.99995	True
s_340_r2	E2F5	1451.4	1571.2	1451.4	1571.2	0.11435	7176	14392	0.9986	0.84101	0.15899	0.31799	0.99995	True
s_249_r2	CREM	1378.7	1495.5	1378.7	1495.5	0.1172	6816.2	13671	0.99858	0.841	0.159	0.318	0.99995	True
s_98_r3	BNC1	785.48	873.61	785.48	873.61	0.15322	3882.7	7788.9	0.99849	0.84098	0.15902	0.31804	0.99995	True
s_5731_r3	Non-Targeting Control	379.65	318.42	379.65	318.42	-0.25303	1874.8	3764.6	0.99799	0.15914	0.84086	0.31828	0.99995	False
s_2518_r3	MAFK	222.55	269.43	222.55	269.43	0.27463	1098.7	2206.9	0.99785	0.84082	0.15918	0.31835	0.99995	True
s_1759_r2	CCL4	1000.3	900.89	1000.3	900.89	-0.15078	4936.5	9918.6	0.9977	0.15921	0.84079	0.31842	0.99995	False
s_2005_r1	TCF12	1205.7	1096.7	1205.7	1096.7	-0.13662	5943.9	11956	0.99713	0.15935	0.84065	0.3187	0.99995	False
s_1612_r3	PPARD	1237.1	1126.7	1237.1	1126.7	-0.13478	6097.4	12268	0.99704	0.15937	0.84063	0.31875	0.99995	False
s_1868_r2	SP3	1200.6	1309.3	1200.6	1309.3	0.12498	5911.9	11905	0.99658	0.84051	0.15949	0.31897	0.99995	True
s_3808_r3	ZSCAN31	1181.5	1073.6	1181.5	1073.6	-0.13799	5817.1	11716	0.99651	0.1595	0.8405	0.319	0.99995	False
s_2200_r2	ZFY	1317.8	1203.9	1317.8	1203.9	-0.13032	6487.7	13068	0.99645	0.15951	0.84049	0.31903	0.99995	False
s_591_r2	GABPA	48.974	27.999	48.974	27.999	-0.7852	219.99	485.63	0.99628	0.15956	0.84044	0.31911	0.99995	False
s_3146_r2	MAFF	53.426	31.292	53.426	31.292	-0.7531	244.95	529.78	0.99611	0.1596	0.8404	0.31919	0.99995	False
s_2099_r2	TGIF1	1199.1	1307.7	1199.1	1307.7	0.12495	5894.2	11891	0.9957	0.8403	0.1597	0.3194	0.99995	True
s_2666_r2	GCM2	519.42	447.98	519.42	447.98	-0.21304	2552.2	5150.6	0.9955	0.15975	0.84025	0.31949	0.99995	False
s_465_r2	ETV2	1803.1	1670	1803.1	1670	-0.11057	8858.3	17880	0.99542	0.15977	0.84023	0.31953	0.99995	False
s_2016_r2	ZNF354A	359.14	299.75	359.14	299.75	-0.26001	1763.8	3561.3	0.99526	0.1598	0.8402	0.31961	0.99995	False
s_3707_r2	ZNF71	899.34	805.37	899.34	805.37	-0.15903	4415.3	8917.9	0.99509	0.15985	0.84015	0.31969	0.99995	False
s_1311_r2	MYF6	1013.6	1113.4	1013.6	1113.4	0.13528	4974	10051	0.99486	0.8401	0.1599	0.3198	0.99995	True
s_3062_r1	FOXJ3	898	991.87	898	991.87	0.14328	4405.7	8904.6	0.99476	0.84007	0.15993	0.31985	0.99995	True
s_1133_r2	LAG3	909.73	815.25	909.73	815.25	-0.15801	4463	9020.9	0.99473	0.15993	0.84007	0.31987	0.99995	False
s_3981_r0	ZNF442	1638.6	1511.9	1638.6	1511.9	-0.1161	8035.7	16249	0.99453	0.15998	0.84002	0.31996	0.99995	False
s_4039_r2	ZNF436	1222.9	1113.4	1222.9	1113.4	-0.13524	5996.5	12126	0.9945	0.15999	0.84001	0.31998	0.99995	False
s_228_r2	CCR8	2102.9	2246.5	2102.9	2246.5	0.095226	10304	20853	0.99412	0.83992	0.16008	0.32016	0.99995	True
s_2157_r2	NR1H2	464.51	531.97	464.51	531.97	0.19524	2275.5	4606.1	0.994	0.83989	0.16011	0.32022	0.99995	True
s_419_r3	EPAS1	353.47	412.31	353.47	412.31	0.22157	1731.2	3505	0.99389	0.83986	0.16014	0.32028	0.99995	True
s_4838_r3	ATOH7	507.29	436.8	507.29	436.8	-0.21538	2484.3	5030.3	0.99385	0.16015	0.83985	0.3203	0.99995	False
s_105_r3	KLF9	631.66	710.31	631.66	710.31	0.16906	3093.3	6263.6	0.99384	0.83985	0.16015	0.3203	0.99995	True
s_5442_r2	Non-Targeting Control	730.16	645.61	730.16	645.61	-0.17728	3573.9	7240.3	0.99359	0.16021	0.83979	0.32042	0.99995	False
s_4915_r2	ZNF740	1561.2	1684.9	1561.2	1684.9	0.10987	7641	15481	0.99355	0.83978	0.16022	0.32044	0.99995	True
s_2910_r3	CTCF	972.04	1069.6	972.04	1069.6	0.13779	4754.9	9638.8	0.99329	0.83972	0.16028	0.32057	0.99995	True
s_5204_r2	ZNF880	811.78	900.89	811.78	900.89	0.15009	3970.5	8049.7	0.99323	0.8397	0.1603	0.3206	0.99995	True
s_2799_r3	ZNF263	520.38	449.05	520.38	449.05	-0.21226	2544.2	5160.1	0.99303	0.16035	0.83965	0.3207	0.99995	False
s_5842_r1	Non-Targeting Control	992.94	894.42	992.94	894.42	-0.1506	4853.3	9846.1	0.9929	0.16038	0.83962	0.32076	0.99995	False
