sgrna	Gene	control_count	treatment_count	control_mean	treat_mean	LFC	control_var	adj_var	score	p.low	p.high	p.twosided	FDR	high_in_treatment
s_505_r0	DGKA	3543.8	3444.5	3543.8	3444.5	-0.041014	4935.7	22563	0.66144	0.25416	0.74584	0.50833	0.99724	False
s_2473_r0	Non-Targeting Control	3305	3400.3	3305	3400.3	0.041018	4545.3	20790	0.66125	0.74578	0.25422	0.50845	0.99724	True
s_1445_r0	PDCD10	3376.1	3279.6	3376.1	3279.6	-0.04182	4654.9	21315	0.66088	0.25434	0.74566	0.50869	0.99724	False
s_2029_r0	TMPRSS11F	2110.8	2184	2110.8	2184	0.049193	2682.7	12294	0.66062	0.74557	0.25443	0.50886	0.99724	True
s_2259_r0	TYRO3	3507.2	3605.8	3507.2	3605.8	0.039982	4859.2	22290	0.66031	0.74547	0.25453	0.50906	0.99724	True
s_1348_r0	NFYC	2452.9	2532.7	2452.9	2532.7	0.046151	3181.5	14658	0.65885	0.745	0.255	0.50999	0.99724	True
s_825_r0	HSP90B1	98.872	86.495	98.872	86.495	-0.19088	76.595	353.11	0.65866	0.25506	0.74494	0.51011	0.99724	False
s_1271_r0	MYC	2791.7	2877.8	2791.7	2877.8	0.043764	3699.4	17058	0.6586	0.74492	0.25508	0.51016	0.99724	True
s_798_r0	HLA-DRA	3561.6	3660.7	3561.6	3660.7	0.039586	4911.2	22696	0.65786	0.74468	0.25532	0.51063	0.99724	True
s_1029_r0	KIDINS220	2579.6	2661.5	2579.6	2661.5	0.045111	3359.1	15549	0.65732	0.74451	0.25549	0.51097	0.99724	True
s_1816_r0	SLC37A4	4603.7	4718.5	4603.7	4718.5	0.035535	6592.4	30676	0.65559	0.74396	0.25604	0.51208	0.99724	True
s_2809_r0	Non-Targeting Control	1450.9	1509.2	1450.9	1509.2	0.056794	1699.1	7931.4	0.65456	0.74363	0.25637	0.51275	0.99724	True
